track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_genre
0UlSTv7h3xyrkTUnG2XhLL,12,385578,0.552,0.616,5,-14.572,1,0.0328,0.0345,0.94,0.0804,0.234,119.994,4,0
0BCy325UZyR9z0t0uxwn2N,71,194186,0.523,0.666,7,-4.081,0,0.0327,0.401,0,0.0728,0.564,78.077,4,1
4tq6cohvTZ3jqeiVNM8Jlx,0,162533,0.84,0.507,5,-7.251,0,0.0304,0.29,0,0.241,0.703,117.947,4,1
22GbAGb80ZZNgm2yrBMnpR,66,403866,0.55,0.824,9,-7.848,0,0.0347,3.62e-4,0.00115,0.0865,0.332,131.387,4,0
1qRA5BS78u3gME0loMl9AA,78,153693,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4,1
3nIlBeSIVnDbWFO3mExxV2,60,149843,0.662,0.525,6,-8.546,0,0.0341,0.281,0,0.199,0.577,133.937,4,0
5LxvwujISqiB8vpRYv887S,77,176333,0.469,0.538,8,-13.559,1,0.0571,0.305,1.2e-4,0.37,0.886,196.605,4,0
2MkVqeZvoyx6UkRFutiflz,0,234946,0.476,0.888,0,-4.926,1,0.0534,0.0131,0,0.277,0.617,162,4,1
0ZqUiG5tz5lFQrZ6Opp5GN,38,260653,0.468,0.902,11,-1.221,1,0.0354,6.49e-6,0,0.124,0.558,120.059,4,0
5XRmtOOr6puIuXtIjstCu1,46,384347,0.532,0.639,1,-8.823,0,0.0418,0.151,0,0.122,0.357,137.971,4,0
5hEMsvmH7SpaiCVU9DZg5N,1,179294,0.431,0.837,9,-5.067,1,0.0432,0.259,0,0.0879,0.648,170.041,4,1
5XRFBZNuGxgqW8mdAwUfAU,1,172813,0.577,0.749,5,-3.826,0,0.0278,0.00752,1.27e-5,0.131,0.847,134.193,4,0
6zoNHckACUOGj2bERXgmnw,55,201933,0.488,0.968,6,-1.55,0,0.25,0.0295,0,0.215,0.359,163.988,4,0
3b1XyzSDQN9RmperyuoF9d,25,222266,0.69,0.909,11,-5.782,0,0.0363,0.0388,0,0.361,0.705,126.029,4,0
44x4VUR7gXkrbo4aYy2d8e,0,194454,0.248,0.308,2,-6.746,1,0.03,0.797,0,0.118,0.348,91.29,4,1
66SHJMNcr0fF59sx5YY1Vf,16,91973,0.265,0.995,1,-4.604,0,0.125,3.68e-6,0.0898,0.508,0.0765,100.958,4,0
2yeCrMf8koRuEWuRdo8SgX,0,209080,0.651,0.479,1,-6.192,1,0.0447,0.426,0,0.151,0.575,145.979,4,1
